,predlabels,testlabels
0,country,rock
1,rock,pop
2,hip-hop,hip-hop
3,hip-hop,pop
4,hip-hop,hip-hop
5,rock,hip-hop
6,country,hip-hop
7,hip-hop,hip-hop
8,rock,rock
9,country,hip-hop
10,hip-hop,country
11,rock,electronic
12,electronic,country
13,hip-hop,pop
14,country,pop
15,electronic,electronic
16,country,rock
17,electronic,hip-hop
18,electronic,electronic
19,country,pop
20,electronic,electronic
21,country,hip-hop
22,country,rock
23,pop,hip-hop
24,pop,pop
25,hip-hop,hip-hop
26,hip-hop,hip-hop
27,hip-hop,electronic
28,electronic,hip-hop
29,rock,pop
30,hip-hop,country
31,pop,country
32,hip-hop,hip-hop
33,pop,rock
34,country,pop
35,electronic,country
36,rock,pop
37,hip-hop,rock
38,rock,electronic
39,hip-hop,country
40,rock,hip-hop
41,electronic,hip-hop
42,rock,pop
43,electronic,hip-hop
44,electronic,hip-hop
45,country,rock
46,rock,hip-hop
47,country,country
48,electronic,electronic
49,electronic,hip-hop
50,country,hip-hop
51,electronic,rock
52,pop,pop
53,hip-hop,country
54,hip-hop,country
55,country,country
56,electronic,hip-hop
57,country,rock
58,hip-hop,electronic
59,hip-hop,country
60,pop,electronic
61,rock,hip-hop
62,electronic,pop
63,electronic,electronic
64,electronic,electronic
65,country,rock
66,electronic,rock
67,hip-hop,country
68,hip-hop,hip-hop
69,rock,pop
70,pop,rock
71,hip-hop,rock
72,rock,rock
73,country,pop
74,hip-hop,country
75,electronic,rock
76,country,hip-hop
77,hip-hop,pop
78,rock,hip-hop
79,pop,country
80,hip-hop,hip-hop
81,rock,hip-hop
82,electronic,electronic
83,hip-hop,electronic
84,pop,electronic
85,pop,country
86,rock,rock
87,hip-hop,pop
88,hip-hop,hip-hop
89,country,pop
90,electronic,electronic
91,hip-hop,country
92,pop,hip-hop
93,electronic,country
94,pop,hip-hop
95,hip-hop,pop
96,country,rock
97,electronic,pop
98,hip-hop,hip-hop
99,hip-hop,electronic
