,predlabels,testlabels
0,hip-hop,hip-hop
1,hip-hop,rock
2,hip-hop,electronic
3,hip-hop,electronic
4,hip-hop,electronic
5,hip-hop,pop
6,electronic,electronic
7,hip-hop,hip-hop
8,rock,country
9,country,pop
10,hip-hop,rock
11,hip-hop,hip-hop
12,country,electronic
13,hip-hop,pop
14,hip-hop,hip-hop
15,hip-hop,hip-hop
16,hip-hop,rock
17,pop,electronic
18,hip-hop,hip-hop
19,rock,rock
20,hip-hop,hip-hop
21,rock,country
22,hip-hop,electronic
23,electronic,electronic
24,hip-hop,hip-hop
25,rock,rock
26,electronic,hip-hop
27,hip-hop,pop
28,hip-hop,hip-hop
29,rock,pop
30,hip-hop,pop
31,hip-hop,pop
32,electronic,hip-hop
33,country,hip-hop
34,country,electronic
35,hip-hop,country
36,hip-hop,pop
37,hip-hop,rock
38,hip-hop,country
39,rock,electronic
40,hip-hop,rock
41,rock,pop
42,hip-hop,country
43,hip-hop,hip-hop
44,electronic,electronic
45,hip-hop,rock
46,hip-hop,hip-hop
47,electronic,country
48,hip-hop,hip-hop
49,rock,rock
50,rock,electronic
51,electronic,hip-hop
52,hip-hop,electronic
53,electronic,electronic
54,hip-hop,hip-hop
55,hip-hop,hip-hop
56,hip-hop,electronic
57,hip-hop,rock
58,rock,electronic
59,hip-hop,electronic
60,electronic,rock
61,rock,hip-hop
62,hip-hop,pop
63,hip-hop,hip-hop
64,hip-hop,hip-hop
65,pop,hip-hop
66,hip-hop,rock
67,rock,electronic
68,hip-hop,electronic
69,hip-hop,electronic
70,rock,electronic
71,hip-hop,rock
72,rock,rock
73,hip-hop,rock
74,electronic,rock
75,pop,electronic
76,hip-hop,pop
77,rock,electronic
78,hip-hop,hip-hop
79,electronic,electronic
80,country,rock
81,rock,hip-hop
82,electronic,electronic
83,hip-hop,rock
84,hip-hop,country
85,rock,hip-hop
86,electronic,pop
87,hip-hop,electronic
88,pop,hip-hop
89,hip-hop,hip-hop
90,hip-hop,hip-hop
91,hip-hop,electronic
92,rock,pop
93,electronic,rock
94,hip-hop,rock
95,pop,country
96,hip-hop,hip-hop
97,hip-hop,pop
98,hip-hop,rock
99,electronic,pop
