,predlabels,testlabels
0,hip-hop,country
1,hip-hop,pop
2,hip-hop,rock
3,country,hip-hop
4,hip-hop,pop
5,hip-hop,hip-hop
6,country,rock
7,hip-hop,electronic
8,hip-hop,rock
9,country,electronic
10,country,electronic
11,hip-hop,pop
12,hip-hop,hip-hop
13,hip-hop,hip-hop
14,hip-hop,pop
15,country,country
16,hip-hop,electronic
17,hip-hop,hip-hop
18,country,country
19,hip-hop,pop
20,hip-hop,country
21,hip-hop,electronic
22,electronic,rock
23,hip-hop,country
24,hip-hop,hip-hop
25,country,electronic
26,country,electronic
27,country,pop
28,hip-hop,rock
29,country,country
