,predlabels,testlabels
0,country,country
1,hip-hop,hip-hop
2,electronic,electronic
3,country,hip-hop
4,hip-hop,hip-hop
5,pop,hip-hop
6,electronic,electronic
7,hip-hop,electronic
8,pop,hip-hop
9,hip-hop,rock
10,electronic,hip-hop
11,country,rock
12,electronic,electronic
13,hip-hop,country
14,electronic,pop
15,country,electronic
16,electronic,rock
17,country,electronic
18,hip-hop,rock
19,country,hip-hop
20,electronic,electronic
21,electronic,rock
22,rock,country
23,rock,electronic
24,country,rock
25,hip-hop,pop
26,electronic,rock
27,hip-hop,hip-hop
28,electronic,electronic
29,pop,hip-hop
30,electronic,rock
31,electronic,hip-hop
32,rock,pop
33,rock,hip-hop
34,rock,rock
35,rock,country
36,rock,electronic
37,rock,rock
38,rock,pop
39,rock,hip-hop
40,hip-hop,rock
41,country,country
42,pop,pop
43,rock,hip-hop
44,country,rock
45,hip-hop,hip-hop
46,country,pop
47,hip-hop,hip-hop
48,country,rock
49,country,pop
50,rock,rock
51,rock,electronic
52,hip-hop,rock
53,electronic,hip-hop
54,electronic,hip-hop
55,hip-hop,rock
56,rock,country
57,country,electronic
58,hip-hop,hip-hop
59,electronic,country
60,rock,country
61,country,country
62,rock,electronic
63,electronic,rock
64,rock,country
65,pop,electronic
66,electronic,pop
67,hip-hop,hip-hop
68,hip-hop,electronic
69,rock,hip-hop
70,hip-hop,hip-hop
71,pop,rock
72,rock,rock
73,country,pop
74,electronic,pop
75,pop,country
76,electronic,pop
77,hip-hop,rock
78,pop,rock
79,country,hip-hop
80,electronic,hip-hop
81,hip-hop,hip-hop
82,rock,pop
83,rock,pop
84,pop,rock
85,hip-hop,pop
86,hip-hop,hip-hop
87,electronic,electronic
88,electronic,hip-hop
89,country,pop
90,hip-hop,country
91,country,country
92,pop,hip-hop
93,hip-hop,hip-hop
94,electronic,pop
95,pop,rock
96,country,country
97,rock,rock
98,electronic,rock
99,country,hip-hop
