,predlabels,testlabels
0,hip-hop,hip-hop
1,hip-hop,rock
2,electronic,electronic
3,electronic,electronic
4,rock,electronic
5,rock,rock
6,electronic,electronic
7,rock,country
8,hip-hop,electronic
9,hip-hop,country
10,electronic,country
11,country,country
12,electronic,pop
13,hip-hop,electronic
14,rock,pop
15,electronic,electronic
16,hip-hop,rock
17,rock,electronic
18,hip-hop,hip-hop
19,hip-hop,hip-hop
20,hip-hop,pop
21,hip-hop,pop
22,rock,rock
23,rock,electronic
24,hip-hop,pop
25,hip-hop,hip-hop
26,country,pop
27,hip-hop,electronic
28,hip-hop,country
29,electronic,pop
30,hip-hop,electronic
31,rock,pop
32,electronic,electronic
33,electronic,electronic
34,hip-hop,country
35,hip-hop,electronic
36,hip-hop,pop
37,electronic,hip-hop
38,electronic,pop
39,hip-hop,country
40,electronic,pop
41,hip-hop,rock
42,electronic,rock
43,country,country
44,hip-hop,electronic
45,electronic,rock
46,country,country
47,pop,country
48,hip-hop,hip-hop
49,hip-hop,electronic
50,electronic,rock
51,electronic,hip-hop
52,rock,pop
53,country,electronic
54,hip-hop,country
55,rock,electronic
56,electronic,country
57,hip-hop,rock
58,hip-hop,rock
59,hip-hop,pop
60,electronic,electronic
61,hip-hop,hip-hop
62,hip-hop,hip-hop
63,hip-hop,country
64,hip-hop,rock
65,hip-hop,country
66,electronic,pop
67,electronic,electronic
68,hip-hop,hip-hop
69,hip-hop,hip-hop
70,hip-hop,electronic
71,rock,electronic
72,rock,rock
73,rock,electronic
74,electronic,electronic
75,electronic,electronic
76,rock,electronic
77,country,country
78,country,rock
79,country,country
80,pop,electronic
81,hip-hop,electronic
82,hip-hop,pop
83,electronic,hip-hop
84,electronic,hip-hop
85,hip-hop,rock
86,pop,pop
87,electronic,rock
88,rock,hip-hop
89,electronic,hip-hop
90,country,country
91,rock,pop
92,hip-hop,rock
93,electronic,hip-hop
94,electronic,electronic
95,electronic,rock
96,hip-hop,country
97,electronic,hip-hop
98,electronic,country
99,electronic,country
