,predlabels,testlabels
0,country,hip-hop
1,hip-hop,hip-hop
2,hip-hop,rock
3,rock,electronic
4,country,electronic
5,country,hip-hop
6,rock,electronic
7,electronic,electronic
8,electronic,electronic
9,hip-hop,country
10,pop,pop
11,rock,country
12,country,country
13,hip-hop,pop
14,country,country
15,hip-hop,hip-hop
16,pop,rock
17,hip-hop,country
18,country,country
19,rock,rock
20,country,hip-hop
21,rock,rock
22,pop,country
23,electronic,hip-hop
24,pop,pop
25,hip-hop,rock
26,hip-hop,pop
27,hip-hop,country
28,electronic,hip-hop
29,hip-hop,country
30,pop,electronic
31,electronic,electronic
32,country,country
33,country,hip-hop
34,rock,country
35,electronic,hip-hop
36,hip-hop,electronic
37,pop,hip-hop
38,country,pop
39,hip-hop,pop
40,rock,rock
41,electronic,pop
42,electronic,electronic
43,hip-hop,rock
44,pop,hip-hop
45,hip-hop,rock
46,pop,rock
47,hip-hop,country
48,country,hip-hop
49,electronic,hip-hop
50,country,pop
51,electronic,country
52,hip-hop,rock
53,pop,electronic
54,hip-hop,hip-hop
55,hip-hop,hip-hop
56,hip-hop,pop
57,hip-hop,rock
58,rock,rock
59,rock,pop
60,hip-hop,rock
61,rock,pop
62,hip-hop,pop
63,electronic,rock
64,pop,electronic
65,electronic,electronic
66,rock,hip-hop
67,electronic,electronic
68,rock,hip-hop
69,electronic,electronic
70,country,country
71,country,pop
72,rock,hip-hop
73,rock,hip-hop
74,hip-hop,electronic
75,country,country
76,hip-hop,hip-hop
77,hip-hop,country
78,pop,electronic
79,electronic,electronic
80,hip-hop,country
81,electronic,hip-hop
82,hip-hop,hip-hop
83,country,pop
84,country,country
85,country,pop
86,rock,electronic
87,hip-hop,country
88,country,electronic
89,rock,hip-hop
90,pop,pop
91,rock,electronic
92,rock,electronic
93,pop,rock
94,pop,electronic
95,hip-hop,country
96,pop,electronic
97,rock,electronic
98,country,hip-hop
99,hip-hop,country
