,predlabels,testlabels
0,hip-hop,rock
1,electronic,electronic
2,hip-hop,electronic
3,hip-hop,rock
4,country,hip-hop
5,rock,electronic
6,electronic,electronic
7,rock,country
8,pop,hip-hop
9,hip-hop,hip-hop
10,country,pop
11,pop,pop
12,country,rock
13,pop,rock
14,electronic,hip-hop
15,country,electronic
16,rock,rock
17,hip-hop,country
18,hip-hop,pop
19,pop,electronic
20,electronic,hip-hop
21,electronic,pop
22,hip-hop,hip-hop
23,hip-hop,rock
24,electronic,rock
25,pop,pop
26,electronic,electronic
27,pop,hip-hop
28,rock,hip-hop
29,electronic,rock
30,rock,pop
31,hip-hop,hip-hop
32,country,rock
33,hip-hop,hip-hop
34,pop,country
35,country,electronic
36,electronic,pop
37,rock,hip-hop
38,hip-hop,hip-hop
39,pop,rock
40,hip-hop,pop
41,country,hip-hop
42,country,pop
43,pop,rock
44,pop,rock
45,hip-hop,hip-hop
46,country,rock
47,pop,electronic
48,hip-hop,pop
49,hip-hop,rock
50,hip-hop,country
51,country,pop
52,hip-hop,rock
53,electronic,electronic
54,country,country
55,pop,hip-hop
56,electronic,rock
57,country,country
58,hip-hop,hip-hop
59,rock,electronic
60,rock,hip-hop
61,pop,electronic
62,pop,country
63,country,hip-hop
64,pop,hip-hop
65,rock,hip-hop
66,electronic,rock
67,hip-hop,hip-hop
68,hip-hop,hip-hop
69,hip-hop,rock
70,electronic,electronic
71,country,hip-hop
72,hip-hop,hip-hop
73,electronic,hip-hop
74,electronic,pop
75,electronic,hip-hop
76,country,hip-hop
77,rock,pop
78,rock,country
79,country,country
80,hip-hop,pop
81,electronic,pop
82,rock,hip-hop
83,rock,hip-hop
84,rock,rock
85,electronic,electronic
86,country,rock
87,hip-hop,pop
88,rock,hip-hop
89,hip-hop,pop
90,pop,electronic
91,hip-hop,electronic
92,hip-hop,pop
93,country,electronic
94,pop,electronic
95,hip-hop,hip-hop
96,country,rock
97,rock,electronic
98,rock,rock
99,hip-hop,electronic
