,predlabels,testlabels
0,electronic,electronic
1,electronic,country
2,electronic,electronic
3,electronic,electronic
4,hip-hop,country
5,hip-hop,pop
6,electronic,rock
7,pop,rock
8,pop,electronic
9,hip-hop,rock
10,country,rock
11,hip-hop,rock
12,electronic,country
13,hip-hop,country
14,hip-hop,hip-hop
15,hip-hop,hip-hop
16,electronic,pop
17,rock,rock
18,hip-hop,rock
19,rock,country
20,country,hip-hop
21,electronic,rock
22,hip-hop,rock
23,hip-hop,rock
24,pop,rock
25,country,electronic
26,electronic,rock
27,hip-hop,hip-hop
28,rock,pop
29,hip-hop,hip-hop
30,rock,pop
31,pop,hip-hop
32,rock,pop
33,hip-hop,country
34,electronic,pop
35,electronic,electronic
36,hip-hop,hip-hop
37,country,pop
38,rock,pop
39,electronic,electronic
40,hip-hop,country
41,country,country
42,electronic,country
43,hip-hop,hip-hop
44,rock,hip-hop
45,hip-hop,hip-hop
46,hip-hop,pop
47,electronic,country
48,electronic,rock
49,country,country
50,hip-hop,rock
51,rock,hip-hop
52,country,hip-hop
53,hip-hop,pop
54,electronic,country
55,hip-hop,pop
56,hip-hop,hip-hop
57,country,electronic
58,hip-hop,pop
59,rock,pop
60,rock,pop
61,rock,country
62,hip-hop,hip-hop
63,hip-hop,electronic
64,electronic,rock
65,rock,rock
66,rock,hip-hop
67,electronic,hip-hop
68,hip-hop,hip-hop
69,country,pop
70,electronic,rock
71,electronic,pop
72,electronic,electronic
73,hip-hop,pop
74,hip-hop,hip-hop
75,electronic,pop
76,hip-hop,country
77,hip-hop,hip-hop
78,pop,hip-hop
79,hip-hop,pop
80,electronic,country
81,hip-hop,country
82,electronic,hip-hop
83,hip-hop,hip-hop
84,electronic,electronic
85,hip-hop,electronic
86,pop,pop
87,hip-hop,electronic
88,hip-hop,pop
89,hip-hop,rock
90,rock,rock
91,hip-hop,country
92,hip-hop,hip-hop
93,hip-hop,country
94,hip-hop,country
95,electronic,hip-hop
96,rock,rock
97,country,country
98,rock,electronic
99,electronic,hip-hop
