,predlabels,testlabels
0,hip-hop,hip-hop
1,pop,rock
2,hip-hop,rock
3,rock,country
4,hip-hop,hip-hop
5,electronic,rock
6,electronic,rock
7,hip-hop,pop
8,hip-hop,pop
9,hip-hop,rock
10,electronic,electronic
11,hip-hop,rock
12,pop,hip-hop
13,country,country
14,electronic,hip-hop
15,electronic,rock
16,electronic,electronic
17,hip-hop,electronic
18,electronic,rock
19,pop,pop
20,hip-hop,electronic
21,electronic,pop
22,electronic,electronic
23,hip-hop,pop
24,electronic,pop
25,country,rock
26,hip-hop,hip-hop
27,electronic,rock
28,pop,hip-hop
29,hip-hop,country
30,rock,pop
31,rock,rock
32,country,rock
33,electronic,electronic
34,hip-hop,electronic
35,hip-hop,country
36,electronic,electronic
37,country,pop
38,electronic,rock
39,hip-hop,pop
40,hip-hop,electronic
41,electronic,rock
42,pop,hip-hop
43,country,country
44,electronic,hip-hop
45,pop,electronic
46,rock,country
47,country,pop
48,hip-hop,hip-hop
49,hip-hop,rock
50,country,electronic
51,hip-hop,rock
52,electronic,electronic
53,country,hip-hop
54,electronic,rock
55,electronic,electronic
56,pop,rock
57,electronic,pop
58,rock,hip-hop
59,electronic,electronic
60,hip-hop,hip-hop
61,rock,pop
62,hip-hop,rock
63,rock,electronic
64,hip-hop,electronic
65,rock,pop
66,rock,country
67,pop,rock
68,country,hip-hop
69,hip-hop,rock
70,pop,rock
71,country,hip-hop
72,rock,electronic
73,hip-hop,hip-hop
74,electronic,electronic
75,electronic,electronic
76,rock,pop
77,hip-hop,hip-hop
78,pop,hip-hop
79,electronic,rock
80,electronic,country
81,rock,pop
82,country,electronic
83,rock,hip-hop
84,rock,pop
85,hip-hop,pop
86,rock,hip-hop
87,hip-hop,rock
88,electronic,pop
89,country,hip-hop
90,rock,pop
91,rock,rock
92,country,rock
93,electronic,rock
94,rock,electronic
95,hip-hop,hip-hop
96,rock,electronic
97,rock,pop
98,electronic,electronic
99,electronic,rock
