,predlabels,testlabels
0,hip-hop,rock
1,rock,rock
2,country,electronic
3,country,rock
4,rock,hip-hop
5,electronic,rock
6,electronic,electronic
7,hip-hop,rock
8,country,pop
9,hip-hop,hip-hop
10,pop,rock
11,hip-hop,country
12,electronic,hip-hop
13,hip-hop,rock
14,electronic,rock
15,hip-hop,rock
16,hip-hop,country
17,hip-hop,hip-hop
18,rock,pop
19,hip-hop,pop
20,electronic,electronic
21,electronic,hip-hop
22,hip-hop,rock
23,rock,hip-hop
24,hip-hop,electronic
25,rock,rock
26,pop,country
27,electronic,country
28,hip-hop,country
29,rock,electronic
30,pop,rock
31,hip-hop,pop
32,rock,country
33,rock,electronic
34,electronic,hip-hop
35,electronic,hip-hop
36,hip-hop,hip-hop
37,country,rock
38,hip-hop,rock
39,hip-hop,pop
40,rock,pop
41,electronic,hip-hop
42,hip-hop,rock
43,hip-hop,country
44,hip-hop,electronic
45,rock,rock
46,electronic,rock
47,rock,rock
48,rock,electronic
49,hip-hop,pop
50,electronic,electronic
51,rock,rock
52,hip-hop,hip-hop
53,electronic,pop
54,hip-hop,hip-hop
55,rock,rock
56,rock,rock
57,rock,hip-hop
58,electronic,electronic
59,hip-hop,hip-hop
60,electronic,pop
61,pop,country
62,hip-hop,hip-hop
63,rock,rock
64,rock,country
65,pop,hip-hop
66,hip-hop,hip-hop
67,electronic,electronic
68,electronic,hip-hop
69,pop,country
70,electronic,pop
71,electronic,rock
72,hip-hop,pop
73,pop,pop
74,rock,hip-hop
75,country,hip-hop
76,pop,hip-hop
77,pop,rock
78,hip-hop,pop
79,electronic,electronic
80,pop,country
81,rock,rock
82,electronic,rock
83,electronic,electronic
84,country,rock
85,rock,pop
86,rock,rock
87,rock,pop
88,electronic,electronic
89,hip-hop,pop
90,hip-hop,electronic
91,hip-hop,rock
92,pop,country
93,hip-hop,hip-hop
94,hip-hop,hip-hop
95,electronic,electronic
96,hip-hop,country
97,hip-hop,hip-hop
98,rock,pop
99,electronic,rock
