,predlabels,testlabels
0,hip-hop,hip-hop
1,pop,pop
2,pop,rock
3,country,electronic
4,pop,country
5,electronic,rock
6,hip-hop,hip-hop
7,pop,rock
8,country,hip-hop
9,rock,pop
10,pop,country
11,hip-hop,hip-hop
12,rock,electronic
13,hip-hop,pop
14,electronic,pop
15,hip-hop,hip-hop
16,electronic,rock
17,electronic,hip-hop
18,electronic,electronic
19,country,pop
20,pop,hip-hop
21,electronic,country
22,hip-hop,hip-hop
23,electronic,electronic
24,hip-hop,pop
25,rock,rock
26,electronic,pop
27,country,electronic
28,electronic,rock
29,hip-hop,pop
30,rock,electronic
31,rock,electronic
32,pop,country
33,electronic,country
34,hip-hop,country
35,country,rock
36,electronic,country
37,rock,hip-hop
38,hip-hop,country
39,electronic,pop
40,pop,electronic
41,hip-hop,hip-hop
42,hip-hop,rock
43,hip-hop,hip-hop
44,country,country
45,hip-hop,hip-hop
46,rock,hip-hop
47,hip-hop,electronic
48,country,electronic
49,country,hip-hop
50,electronic,country
51,pop,electronic
52,electronic,pop
53,hip-hop,pop
54,country,pop
55,electronic,electronic
56,hip-hop,pop
57,rock,electronic
58,hip-hop,electronic
59,pop,country
60,country,country
61,country,country
62,hip-hop,rock
63,hip-hop,rock
64,pop,electronic
65,rock,hip-hop
66,country,country
67,rock,country
68,hip-hop,hip-hop
69,pop,hip-hop
70,electronic,electronic
71,country,hip-hop
72,rock,country
73,rock,country
74,country,rock
75,pop,hip-hop
76,electronic,hip-hop
77,pop,pop
78,rock,electronic
79,rock,rock
80,rock,electronic
81,hip-hop,hip-hop
82,pop,electronic
83,country,pop
84,electronic,hip-hop
85,pop,country
86,hip-hop,rock
87,country,country
88,electronic,electronic
89,country,hip-hop
90,hip-hop,country
91,country,hip-hop
92,country,electronic
93,country,electronic
94,hip-hop,hip-hop
95,electronic,electronic
96,electronic,hip-hop
97,hip-hop,rock
98,country,pop
99,rock,electronic
