,predlabels,testlabels
0,rock,pop
1,rock,rock
2,electronic,electronic
3,country,pop
4,hip-hop,hip-hop
5,hip-hop,rock
6,hip-hop,hip-hop
7,electronic,pop
8,rock,pop
9,hip-hop,electronic
10,electronic,electronic
11,electronic,electronic
12,electronic,electronic
13,rock,rock
14,rock,rock
15,hip-hop,pop
16,rock,hip-hop
17,hip-hop,country
18,rock,electronic
19,rock,pop
20,hip-hop,rock
21,hip-hop,country
22,hip-hop,hip-hop
23,country,electronic
24,hip-hop,rock
25,hip-hop,hip-hop
26,rock,country
27,hip-hop,country
28,rock,rock
29,hip-hop,country
30,electronic,electronic
31,hip-hop,pop
32,pop,hip-hop
33,electronic,electronic
34,hip-hop,country
35,rock,rock
36,hip-hop,country
37,country,pop
38,country,pop
39,rock,rock
40,electronic,electronic
41,hip-hop,electronic
42,electronic,electronic
43,hip-hop,hip-hop
44,electronic,electronic
45,hip-hop,electronic
46,rock,country
47,pop,rock
48,country,rock
49,electronic,pop
50,electronic,rock
51,country,pop
52,rock,hip-hop
53,country,electronic
54,hip-hop,hip-hop
55,rock,hip-hop
56,electronic,rock
57,hip-hop,rock
58,hip-hop,hip-hop
59,country,rock
60,country,country
61,rock,electronic
62,hip-hop,hip-hop
63,electronic,country
64,hip-hop,hip-hop
65,pop,pop
66,electronic,electronic
67,pop,electronic
68,electronic,electronic
69,hip-hop,hip-hop
70,electronic,pop
71,rock,rock
72,electronic,rock
73,hip-hop,country
74,electronic,rock
75,hip-hop,rock
76,electronic,electronic
77,pop,rock
78,rock,rock
79,country,rock
80,rock,rock
81,rock,pop
82,electronic,hip-hop
83,hip-hop,pop
84,rock,country
85,hip-hop,pop
86,country,hip-hop
87,hip-hop,hip-hop
88,country,electronic
89,hip-hop,country
90,hip-hop,rock
91,electronic,country
92,electronic,hip-hop
93,hip-hop,electronic
94,hip-hop,country
95,electronic,rock
96,country,country
97,electronic,pop
98,pop,country
99,electronic,hip-hop
