,predlabels,testlabels
0,hip-hop,hip-hop
1,hip-hop,pop
2,hip-hop,hip-hop
3,hip-hop,rock
4,electronic,country
5,electronic,electronic
6,country,country
7,electronic,country
8,electronic,hip-hop
9,electronic,hip-hop
10,hip-hop,hip-hop
11,rock,rock
12,hip-hop,hip-hop
13,electronic,country
14,hip-hop,hip-hop
15,electronic,electronic
16,hip-hop,hip-hop
17,rock,hip-hop
18,electronic,rock
19,electronic,rock
20,country,hip-hop
21,country,country
22,country,country
23,hip-hop,electronic
24,rock,rock
25,hip-hop,hip-hop
26,rock,rock
27,electronic,country
28,hip-hop,electronic
29,hip-hop,electronic
30,hip-hop,pop
31,electronic,rock
32,hip-hop,hip-hop
33,hip-hop,hip-hop
34,hip-hop,pop
35,pop,country
36,electronic,rock
37,hip-hop,hip-hop
38,hip-hop,country
39,hip-hop,hip-hop
40,hip-hop,hip-hop
41,hip-hop,rock
42,electronic,rock
43,electronic,rock
44,hip-hop,electronic
45,electronic,pop
46,country,pop
47,hip-hop,rock
48,hip-hop,hip-hop
49,electronic,country
50,rock,electronic
51,electronic,rock
52,hip-hop,hip-hop
53,hip-hop,electronic
54,hip-hop,electronic
55,rock,hip-hop
56,hip-hop,hip-hop
57,hip-hop,electronic
58,rock,rock
59,rock,rock
60,hip-hop,rock
61,hip-hop,pop
62,hip-hop,country
63,hip-hop,electronic
64,rock,pop
65,rock,pop
66,hip-hop,rock
67,electronic,pop
68,hip-hop,pop
69,hip-hop,country
70,electronic,electronic
71,country,electronic
72,hip-hop,country
73,hip-hop,hip-hop
74,electronic,pop
75,country,rock
76,electronic,pop
77,rock,hip-hop
78,electronic,pop
79,electronic,hip-hop
80,hip-hop,pop
81,rock,electronic
82,country,pop
83,hip-hop,hip-hop
84,hip-hop,rock
85,electronic,electronic
86,rock,country
87,rock,pop
88,hip-hop,pop
89,pop,hip-hop
90,country,rock
91,country,pop
92,hip-hop,rock
93,country,pop
94,hip-hop,electronic
95,rock,pop
96,pop,country
97,country,rock
98,hip-hop,pop
99,hip-hop,electronic
