,predlabels,testlabels
0,hip-hop,hip-hop
1,electronic,electronic
2,hip-hop,hip-hop
3,rock,pop
4,hip-hop,hip-hop
5,hip-hop,country
6,pop,pop
7,rock,rock
8,country,hip-hop
9,hip-hop,pop
10,electronic,country
11,country,pop
12,electronic,hip-hop
13,hip-hop,rock
14,electronic,electronic
15,country,country
16,rock,hip-hop
17,hip-hop,hip-hop
18,hip-hop,hip-hop
19,rock,rock
20,rock,country
21,rock,electronic
22,hip-hop,hip-hop
23,hip-hop,rock
24,country,hip-hop
25,electronic,rock
26,hip-hop,hip-hop
27,electronic,hip-hop
28,rock,rock
29,hip-hop,electronic
30,country,country
31,electronic,rock
32,country,country
33,rock,pop
34,hip-hop,rock
35,hip-hop,pop
36,hip-hop,hip-hop
37,hip-hop,rock
38,hip-hop,hip-hop
39,hip-hop,hip-hop
40,hip-hop,electronic
41,hip-hop,country
42,hip-hop,electronic
43,hip-hop,pop
44,hip-hop,electronic
45,hip-hop,rock
46,hip-hop,hip-hop
47,electronic,electronic
48,hip-hop,pop
49,hip-hop,rock
50,electronic,rock
51,electronic,rock
52,country,country
53,hip-hop,hip-hop
54,hip-hop,country
55,hip-hop,rock
56,electronic,electronic
57,hip-hop,hip-hop
58,country,pop
59,rock,hip-hop
60,hip-hop,pop
61,rock,hip-hop
62,rock,electronic
63,hip-hop,country
64,rock,hip-hop
65,hip-hop,pop
66,rock,pop
67,country,hip-hop
68,hip-hop,hip-hop
69,rock,hip-hop
70,pop,rock
71,electronic,hip-hop
72,electronic,rock
73,electronic,electronic
74,hip-hop,country
75,pop,country
76,rock,hip-hop
77,country,country
78,rock,rock
79,hip-hop,pop
80,hip-hop,rock
81,electronic,electronic
82,electronic,hip-hop
83,electronic,electronic
84,country,hip-hop
85,rock,rock
86,electronic,electronic
87,electronic,country
88,rock,electronic
89,country,rock
90,rock,electronic
91,electronic,hip-hop
92,hip-hop,electronic
93,pop,pop
94,hip-hop,rock
95,hip-hop,electronic
96,country,rock
97,rock,hip-hop
98,hip-hop,electronic
99,hip-hop,country
