,predlabels,testlabels
0,electronic,rock
1,pop,hip-hop
2,country,pop
3,pop,electronic
4,hip-hop,electronic
5,country,pop
6,pop,hip-hop
7,pop,hip-hop
8,rock,country
9,country,country
10,rock,rock
11,country,hip-hop
12,country,pop
13,rock,hip-hop
14,electronic,pop
15,rock,rock
16,pop,pop
17,country,rock
18,rock,country
19,electronic,electronic
20,electronic,electronic
21,hip-hop,rock
22,pop,country
23,rock,country
24,country,electronic
25,country,rock
26,country,hip-hop
27,country,country
28,electronic,rock
29,hip-hop,country
30,rock,country
31,country,country
32,pop,hip-hop
33,rock,country
34,country,country
35,country,rock
36,electronic,hip-hop
37,rock,pop
38,pop,electronic
39,pop,pop
40,pop,hip-hop
41,country,hip-hop
42,pop,electronic
43,rock,pop
44,rock,electronic
45,pop,country
46,country,hip-hop
47,pop,electronic
48,hip-hop,country
49,pop,rock
50,electronic,rock
51,country,hip-hop
52,hip-hop,hip-hop
53,rock,hip-hop
54,hip-hop,hip-hop
55,hip-hop,pop
56,rock,rock
57,pop,electronic
58,hip-hop,electronic
59,electronic,hip-hop
60,electronic,electronic
61,hip-hop,electronic
62,hip-hop,hip-hop
63,country,country
64,pop,electronic
65,pop,pop
66,rock,rock
67,country,country
68,pop,country
69,pop,rock
70,rock,pop
71,pop,rock
72,rock,hip-hop
73,pop,hip-hop
74,rock,country
75,electronic,rock
76,country,rock
77,electronic,electronic
78,hip-hop,pop
79,electronic,pop
80,rock,electronic
81,hip-hop,hip-hop
82,rock,country
83,hip-hop,hip-hop
84,country,electronic
85,pop,hip-hop
86,hip-hop,country
87,hip-hop,electronic
88,rock,hip-hop
89,rock,rock
90,hip-hop,rock
91,country,electronic
92,hip-hop,hip-hop
93,electronic,electronic
94,hip-hop,hip-hop
95,electronic,electronic
96,hip-hop,electronic
97,country,pop
98,rock,electronic
99,electronic,pop
