;genre;hash;histmax;histmed;histstd
0;country;04ffe287-7122-4430-b572-7a84db4d8066;36;32.0;3896.571247684463
1;country;0cc7ea8e-1f5b-4b9a-a054-e2c9ab8a28cd;0;636.5;1248.1625761118821
2;pop;0de30e42-1f0a-4591-b72f-5343fa6002e9;254;307.0;6156.4850281913095
3;pop;1bd0e357-042b-4bd4-a35a-3cb12092b4b0;130;557.5;1360.4076436977448
4;pop;2bc08829-389a-40b7-b644-dcbd59e50512;29;1174.0;543.9878825913772
5;country;3b4fbc80-3286-416d-ae32-35b96a4deab1;42;903.0;757.9236052573175
6;country;5b1aacf4-6990-4301-981d-bba0d8683e7b;10;179.0;2224.6289060270815
7;pop;5f4b6757-6712-4f9b-885c-3ba76b850b77;251;371.0;1668.1611004430147
8;pop;6e5fe8df-c66c-412d-97d7-2ace0f9af571;10;210.5;5037.298457894494
9;country;7bf8d5e5-8509-4289-b8a8-c6f53d157803;192;506.5;1258.5045890982083
10;hip-hop;a1000d58-73b8-41cc-958b-e221dde8b8ce;207;495.0;923.1784746698495
11;hip-hop;ae103b0a-b932-4009-acb6-388db1cf890b;249;545.0;1217.0436949710352
12;hip-hop;b105debf-2ace-4f5d-ad98-b62253c38348;226;647.0;855.6266914702054
13;hip-hop;b2c1bd3f-b0b1-49c7-ae5b-b5a01057a9e5;14;820.0;568.294319515645
14;hip-hop;c86cab28-4f26-4949-8cdd-115eb6d16509;173;762.5;811.9142961044288
